,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
[30-06],26408,32866,33012,36324,35670,31927,29537,35086,34301,32888,31797,26082,30818,30003,29657,28229,22729,21148,21489,26450
[01-07],32105,33195,33201,35324,31382,30590,34601,35466,33834,32246,28158,30950,31234,31394,28921,23240,23085,24602,24424,26224
[02-07],32857,33117,32923,31237,30579,35573,35476,35412,33295,28676,27271,32109,30541,31549,27202,21713,26620,26456,24804,25802
[03-07],32981,33168,32429,29527,36481,35844,35530,34445,29000,27982,32957,32296,30757,29173,23022,27068,26760,26716,24912,24121
[04-07],32800,32080,28272,35424,37041,35988,35398,29536,27361,32979,33773,31612,30219,25546,23385,28841,27913,25725,22761,23244
[05-07],32607,28044,27383,36295,37376,36413,34465,28458,32711,33462,33720,31489,27359,25502,28807,28220,27908,25582,21616,25729
[06-07],27724,26822,32295,36131,37189,34997,30683,33241,33368,33084,33377,27776,26367,29297,28049,28842,27484,23700,18624,25791
[07-07],26719,32202,32839,36103,35703,30945,30164,33788,33406,32769,33014,27206,30899,28815,28460,28276,24608,22833,22300,26194
[08-07],32423,33080,33216,35296,30932,30039,35150,33650,34180,32512,28967,32006,31699,29567,28737,23983,23621,26642,25366,26380
[09-07],33039,33451,33525,31044,29853,35190,35153,33307,33876,28714,28290,32406,30131,29224,27295,23713,28281,27872,26229,26343
[10-07],32497,33604,32418,30161,35854,35722,36224,32707,29910,28193,32951,32468,31073,28879,24791,28524,27920,27421,26136,24117
[11-07],32396,32193,28505,36403,36099,35825,35237,29200,28083,32972,33567,32093,31079,25187,23363,29835,28295,27339,23894,23264
[12-07],31631,27748,27502,36848,36241,36297,34883,27800,33625,33096,33004,31961,27548,25000,27512,27736,28489,26030,21037,26491
[13-07],27185,26563,32660,36973,36312,35902,30523,33123,33963,32945,33118,28502,26090,30848,29256,27558,28002,23837,20363,26152
[14-07],26007,32539,32874,37360,35103,31042,29674,33713,33909,32966,32568,27450,30112,31236,28480,26473,24089,23166,24145,25610
[15-07],31960,33430,33477,35921,30729,30804,34962,33733,33117,32509,29117,32171,31242,30394,28279,24099,23169,26723,24989,25821
[16-07],32551,33842,33653,30940,30150,35586,35401,34114,31918,28715,27413,33015,31421,29982,28227,23500,28294,26982,25715,24749
[17-07],32075,33808,32873,30081,36407,35841,34944,33141,28390,27843,32809,33340,31934,28116,24420,26597,28309,27147,24880,22291
[18-07],32268,32269,28966,35819,37407,35829,35173,28544,27582,32421,33106,33354,30627,24132,23714,27543,28575,26436,24109,22242
[19-07],31708,28168,27514,35708,37493,35877,34792,28091,33298,33191,32705,32346,28656,24206,28537,28759,28008,27155,21908,26404
[20-07],27355,26610,32470,35856,37767,35776,30192,32602,34621,33586,32892,28326,27128,29733,29448,27635,27792,22160,20778,26887
[21-07],25857,31790,33174,35956,36667,31516,28903,33954,34179,33310,32511,27017,31391,28939,29735,26729,24409,21787,23310,26893
[22-07],31034,32342,33389,35327,32491,30113,33895,33139,33538,32138,28415,32498,31882,30054,29406,24289,23356,24825,24267,26538
[23-07],32070,32444,33593,31028,30465,35081,35148,33169,32561,28068,26638,33569,31518,29355,28872,23822,28118,26835,24293,25515
[24-07],31485,32279,32125,30138,35738,35066,35581,32313,28896,27200,31544,32787,31647,30543,25215,26797,28368,27535,24411,23067
[25-07],31583,31630,27718,35158,36686,35143,35312,28575,27979,31921,32774,32680,31242,25001,24883,27753,27686,27921,24250,22906
[26-07],31029,27257,26787,35178,36997,35272,34517,27577,32971,32454,33081,31704,27795,25684,27357,27287,28155,27972,21867,25415
[27-07],26931,25801,31723,35777,36768,34274,30563,32279,33377,32398,32966,28326,26205,28867,28508,26363,28043,24661,20190,26331
[28-07],25758,30642,32291,36102,35833,30305,29501,32439,32826,32643,31797,26257,30581,29060,27993,25949,21209,22997,23646,24730
[29-07],31110,31599,32483,34845,31660,29123,34858,33170,32544,31736,27780,30716,30318,29014,28797,23692,22310,25792,21773,23522
[30-07],31693,31442,32735,31103,29908,33654,34821,32153,32070,28041,26546,31353,30042,28885,28127,22573,26687,26325,23530,25267
[31-07],31597,31360,31955,29684,34582,34220,34447,31912,28368,27159,30886,31770,30779,27865,24427,25864,25537,25803,24104,22840
[01-08],31175,30835,27957,34632,34589,34530,35413,28682,27594,32183,32124,32122,30610,24842,23051,26531,25799,26327,23682,22713
[02-08],30381,26633,26703,34943,34595,34615,33783,27447,32109,32971,31731,30972,26891,24097,28418,27542,27101,25987,22159,25350
[03-08],26722,25658,31796,34743,34520,33974,30158,32177,32331,32814,31936,26610,24828,27749,29146,25831,27831,23729,20950,25286
[04-08],25699,31237,32773,34915,34127,30380,29395,33246,32237,32617,31330,26390,29503,27473,26356,25159,23797,23136,24005,24771
[05-08],30628,31896,32519,34542,30846,29793,33633,33343,31699,31372,28242,31299,30518,29077,26851,23266,22857,25501,23810,24866
[06-08],31284,32148,32676,30439,30195,34374,34654,33595,31575,28092,27856,31150,30667,28794,27259,22414,26899,25694,23854,23613
[07-08],31642,32307,32141,29264,35189,34629,34962,32603,28551,26697,31822,31226,30541,28800,23493,27171,27923,25171,26265,22032
[08-08],31390,31746,28347,34769,35420,34550,34825,28621,27694,31156,32303,31223,30578,24988,20874,28414,26825,26254,25389,21307
[09-08],31009,28140,27826,35692,34833,34715,33700,27914,32221,32191,32549,30441,26045,24553,25424,27516,27435,25020,22545,24938
[10-08],27238,27424,33868,35970,34648,34308,30309,33019,32727,32072,32228,27371,25788,29234,27217,26805,26495,21586,21784,25285
[11-08],26096,32802,33858,36118,34277,30845,28892,33534,32416,32825,31688,25968,28012,30038,28301,26201,23690,21627,25870,25282
[12-08],31088,33353,33423,35314,30738,29722,33860,33932,32576,32714,27900,30375,29078,29891,27481,23854,24068,26112,26881,24980
[13-08],33231,32836,33541,31474,30344,34570,34855,33681,32123,28893,27532,31385,29796,30876,25818,23074,27492,25985,27127,23641
[14-08],32334,32303,32587,30117,35554,36080,34731,32842,28787,27813,32365,31992,31207,30965,23858,27384,27613,28070,26842,22462
[15-08],32533,31453,28538,35507,35975,35768,34744,28543,27430,32614,32748,32049,30430,25599,24724,26884,26655,24885,26392,22538
[16-08],31600,27432,27587,36417,36140,35252,33973,27741,32281,32853,32749,31541,25867,25612,27476,26680,26793,25882,24124,24939
[17-08],27814,26458,32944,36458,36507,34993,30094,33055,33262,32980,32341,27328,24270,29451,27780,27008,25528,20820,23735,26094
[18-08],26660,32072,33501,36972,35876,31642,29691,33941,32815,33499,32234,26273,29776,30318,28210,25551,23480,20335,26250,26004
[19-08],32017,32040,33616,35887,31715,30832,35059,34123,33001,32515,29153,31137,30723,30442,28982,21885,23575,24605,25913,27061
[20-08],32632,32070,33289,31227,30496,35665,35266,33671,32149,29206,28659,32132,31158,30712,28543,23698,28770,26096,26770,26855
[21-08],32318,32378,32864,30141,35606,36482,35323,32391,28701,28220,32853,32208,30898,29631,23264,28843,28245,25784,23208,24869
[22-08],32238,32244,28300,36182,36123,36322,35395,28860,28178,32765,33088,32915,30364,26798,23094,28971,28073,25445,22504,23704
[23-08],31740,28212,27279,36107,36842,36023,34270,27908,32537,33632,32074,32236,26790,25196,28241,28421,27492,25249,20272,26448
[24-08],27347,26504,33201,36526,36288,35260,29921,33444,31740,33328,32840,28630,26057,30772,28903,27774,25383,22873,22071,26433
[25-08],25778,26898,33700,36020,35311,31304,28692,33486,33417,33505,32344,26881,27736,30173,29628,27180,23050,22659,25395,26746
[26-08],26495,31992,33530,35285,31404,29575,29623,33740,33574,33105,28759,27984,30817,29682,30958,24318,24034,24085,24471,26014
[27-08],31747,32547,33254,31288,29662,30514,34730,33540,32268,28971,27212,31885,31089,29236,27424,22734,23794,27892,24919,26146
[28-08],32570,33049,32759,29608,30628,35397,35412,31555,28027,27215,28268,32483,30937,28352,25606,23029,28086,27855,27364,23207
[29-08],33099,32022,28365,30768,35061,35889,35575,27677,26432,28451,32070,32307,29952,25693,24693,28308,28102,25535,24724,22510
[30-08],32501,27769,26937,36072,36155,36003,35290,27458,28209,32899,33106,31511,26852,25913,24317,28905,28045,24289,21722,24103
[31-08],27679,26758,27535,37616,36867,35429,31238,28700,33042,33673,32788,27369,26322,27536,27439,28407,26650,21559,22318,26512
[01-09],26297,32031,32404,37294,35783,31660,30666,32888,33757,33260,32395,26251,31910,30079,28282,27356,24013,21361,23550,27121
[02-09],32158,33040,33295,35994,32249,30797,34847,34168,33641,32904,28645,31198,32223,30559,28148,24215,23157,25554,25594,27244
[03-09],33291,33151,33449,31623,30978,35728,35612,33487,33138,29696,28560,33213,32529,30877,28654,24108,28165,26424,25490,26864
[04-09],33041,33214,33045,30961,36500,36301,35317,32483,29168,28982,32739,33089,32631,30276,25765,29186,29049,25119,25449,24205
[05-09],33214,32606,29406,37150,37535,36955,36092,29126,27973,33031,33334,33399,32094,26752,24720,29409,28689,25476,24951,23308
[06-09],32617,28247,28400,37294,37450,37124,36315,28475,32464,33657,33027,32769,28593,25597,29764,27976,29058,25652,22112,26966
[07-09],28007,26919,33988,36789,36544,36214,31690,34001,34003,33492,32709,28269,26825,30710,30636,28723,26814,23947,23437,26831
[08-09],26709,32598,34098,37207,35788,31914,31041,34708,34604,34190,32427,27987,31394,31847,30811,27877,25372,23347,25976,27129
[09-09],33287,33071,33673,36880,31441,30847,36060,34527,34387,33891,28994,33041,32158,31411,28224,25029,22995,29006,26164,27845
[10-09],33036,33614,33985,33047,30780,35714,36839,34225,33333,29705,27805,32752,32160,29996,27589,24182,26999,27904,25656,27662
[11-09],32843,33760,33852,31728,36745,36532,36058,33674,29498,27987,32815,34121,32341,29375,26281,26661,27767,26495,26654,23600
[12-09],33266,32542,29466,36652,37633,37035,36102,29669,28526,32866,32660,33947,31730,26325,23083,27663,28547,27231,25184,24131
[13-09],32503,28275,28170,36923,37865,36760,36150,28704,33081,33047,33414,33648,28254,26613,28293,27536,27633,26264,21802,27318
[14-09],28261,27046,33300,37247,38355,35823,31834,33820,33331,33803,33304,29719,27092,31421,30625,28350,27476,22562,20927,28290
[15-09],26955,32550,33976,38110,36778,31796,30732,34799,33107,34363,32011,28411,32092,31932,29974,28974,24959,23278,25912,27413
[16-09],32462,33229,34041,36291,32742,30680,35941,34571,33953,33471,28885,32332,32489,32585,30841,26623,23368,28573,27430,27101
[17-09],24263,33371,34211,32492,31685,36324,37063,34955,33574,29569,28254,34652,32681,31773,28834,26166,27758,27250,26651,26114
[18-09],33515,33677,34221,31864,36689,37399,37002,34307,30412,29198,32745,33896,32787,31593,25786,30255,26764,28200,26053,24196
[19-09],33390,33041,30014,37006,36461,37596,36720,30419,29236,33634,33132,34474,32929,27643,25458,30292,26644,27960,25037,24001
[20-09],32536,28841,28661,37000,36928,37421,35946,29095,33900,34414,33697,33636,29146,27216,30631,30090,28812,26426,22473,26347
[21-09],28019,27478,34103,37638,37502,37027,32016,33732,35075,34113,34360,30036,27240,31917,31030,30247,25786,22538,23200,26455
[22-09],27134,33435,34416,37304,37122,32880,31019,34266,34730,34266,33951,29109,31822,32109,30475,28822,26845,24881,26730,25337
[23-09],32535,33740,35390,36826,32356,31830,36476,34816,34984,33472,30050,33974,32591,31549,29664,25719,26053,27523,26757,25496
[24-09],33309,34132,34872,32637,31815,36975,36759,34690,33867,29871,29904,34520,32141,30448,27916,25459,28983,28643,28371,25326
[25-09],33478,34339,34178,31750,37340,37665,37144,34049,30413,28974,34567,34539,32226,30583,23959,30992,28596,29102,27616,25185
[26-09],33636,33814,30794,37225,37619,38260,37179,30256,30474,33993,34719,34092,31362,27862,23794,30666,27991,26872,25231,22896
[27-09],33209,29505,29501,37648,37781,39203,35959,29404,36276,34456,35575,33090,28653,26940,30338,29790,27961,26825,23747,24839
[28-09],28859,28541,34972,38075,37926,39024,31994,34334,36731,34273,35201,29283,28025,30923,29537,29714,28503,23956,24825,27176
[29-09],27560,34132,35253,38235,37557,34477,31298,35158,36523,34558,33878,27828,32922,31422,28741,29303,24721,24528,29175,26198
[30-09],33014,34933,35411,38218,33052,33071,35999,35296,36055,33857,29860,32831,32433,31255,27823,26949,25189,29379,28693,27579
[01-10],33985,34804,35701,33022,32334,38747,37072,34942,35170,29996,29365,33437,32702,31811,29020,25474,29212,29112,28572,25252
[02-10],34131,35308,34625,32594,37425,39424,36621,34502,31439,28946,34083,34316,32644,31346,27748,27445,28648,28934,28938,25673
[03-10],33716,34102,30640,39045,37863,39407,37621,29957,30888,33408,34534,34363,31170,29182,25968,28837,30132,30904,28747,23283
[04-10],32962,30086,30501,39316,38017,38674,37201,29956,35463,33894,34753,33660,28769,27968,29746,29939,29671,29125,26933,27847
[05-10],29198,29617,35176,39649,38939,38015,34046,35823,35392,33815,35200,29903,27764,32330,29804,28485,30130,26832,26488,27608
[06-10],27913,35296,35502,40077,37798,33981,33309,36438,35459,33398,34953,28473,32959,33166,28911,29942,27588,24908,29316,27929
[07-10],33731,36049,35725,38650,33157,33162,38193,36565,35696,33652,31072,33377,33775,32917,30836,26496,25603,29555,28654,28177
[08-10],34429,36255,36080,34376,32570,38626,38331,36327,34812,31230,30746,33713,34130,33203,32176,27215,29009,27849,28109,28430
[09-10],34504,35535,35350,32948,38082,39793,37926,36099,30903,29813,35917,33470,33510,32582,28745,31261,27796,28451,29346,25446
[10-10],35025,34724,31861,38507,39058,39616,37950,31904,29786,33988,36496,33770,33177,29580,27492,29809,28875,28306,28324,24386
[11-10],34578,30224,30602,39559,39262,39255,36464,30485,34709,34657,36555,34105,30434,28288,31769,29423,29085,28390,26292,27765
[12-10],30579,29356,36192,40171,38619,38829,33022,35834,36306,35675,36400,30772,29916,32815,32175,29511,28014,27376,26204,29304
[13-10],30502,35142,37909,39795,38300,34499,32095,36988,37032,35588,34747,30703,33930,34099,32105,28705,25201,27620,31176,29220
[14-10],36157,35641,37414,39136,33955,33229,37197,37200,37587,34303,32210,35700,34967,34135,32234,26407,27198,31643,30190,28111
[15-10],37427,35843,37537,34233,32812,38574,38362,37194,36633,31108,31442,36177,35120,35011,31976,25318,31618,31234,29713,28939
[16-10],37313,36115,37010,33180,38879,39765,38289,35826,32303,30649,36416,36093,34516,34459,28887,29601,30992,30196,30572,27002
[17-10],37446,35660,33071,39050,39660,39734,37847,32571,31945,34928,36082,35496,33201,30719,27204,29679,31595,30728,30899,25768
[18-10],36963,31486,32154,39827,39611,40604,37988,32064,36650,35744,36129,35026,28469,30402,30897,32772,31200,30340,28266,26212
[19-10],32901,30912,37024,40540,39487,40002,33539,37218,37559,36841,36149,30955,26926,34794,31693,32292,30156,27261,28188,
[20-10],32689,36818,38186,40046,38723,35907,32618,37766,38493,37687,36332,29783,32884,34201,32756,30594,26633,27042,29214,
[21-10],37648,38502,38547,39967,34174,34703,37745,37944,38558,36347,32408,34703,32549,34115,33415,25787,25407,31899,29004,
[22-10],37297,39373,37751,35458,33764,40760,38384,37773,37628,31903,31696,34824,34834,32917,33048,25264,29140,31548,30910,
[23-10],37246,39037,37322,34587,39307,41035,39113,36879,33537,30486,36830,34137,34520,33909,29367,31917,29019,31670,29603,
[24-10],38041,38424,33120,40493,39648,41899,38759,32299,33043,34573,37040,35397,34120,29975,28003,30980,29626,31794,29718,
[25-10],36653,34423,31059,40108,40728,42004,37742,25015,38994,35887,36549,33844,29442,23808,33825,29897,31140,31520,26455,
[26-10],32311,29219,36451,40264,39521,40870,34514,30698,38965,36289,36703,30166,22238,33795,34108,32180,29940,28625,20346,
[27-10],27761,38207,37160,39215,39549,36295,27846,36773,36863,36997,36708,23603,32702,34803,32711,30473,28849,21495,29199,
[28-10],36748,38951,37875,38534,35313,29240,39131,36641,36922,35856,33836,34016,33295,34876,32055,26156,23161,33258,30836,
[29-10],38168,38761,37091,34553,28431,40173,41092,36663,36104,31944,27718,35182,35145,34413,32483,19371,34147,33153,29869,
[30-10],38212,38765,36648,28258,39501,41048,41814,35384,32942,25304,37976,35759,34467,34024,30170,33286,35314,32682,30530,
[31-10],37825,37922,32708,39853,39901,40681,42051,31919,27370,35758,38058,35475,32042,30023,23441,32774,34455,33388,29500,
[01-11],37165,33937,27630,40583,41941,40699,41057,31395,37760,36631,37718,35577,28264,30312,32774,32517,34370,32291,25221,
[02-11],32879,33203,37681,41157,43134,39977,38096,36547,37285,36647,38401,31896,28671,35425,34317,34214,33253,28638,24948,
[03-11],31389,38163,38645,40747,42771,35763,36729,37560,37617,36754,37541,30940,34925,36414,34392,33284,27628,28643,28173,
[04-11],37017,38737,38246,40249,38170,35371,41441,38292,37131,36745,34864,36874,36668,36163,35549,29295,28841,32684,31554,
[05-11],37810,37867,37829,36643,36782,41055,41695,38590,37072,33179,34926,37921,36734,35563,34991,28723,33260,32963,32511,
[06-11],38346,38240,37677,35789,42567,41656,41620,38377,34019,32807,39190,38064,36636,34109,30006,33876,32260,34785,32440,
[07-11],38559,37302,33814,40885,43527,41446,41540,34357,33760,38816,39848,36996,35176,30330,30376,34466,31997,33731,31554,
[08-11],38793,34304,32903,42161,43055,41360,39625,34501,39665,39176,38829,37691,32309,29516,35846,34894,32551,34096,29040,
[09-11],33615,33464,40428,42242,42801,41387,35622,40276,40343,38490,38341,34754,32332,33172,38452,34107,31646,32630,28762,
[10-11],32801,38326,39025,42579,42855,37003,35544,41337,41328,38188,37567,33682,36802,33291,37851,31964,29349,30711,31241,
[11-11],37690,39125,39462,41214,37625,36128,41419,40643,40538,37565,34562,38033,35979,33649,36386,31683,28958,33034,30823,
[12-11],38847,38599,39702,37307,36806,43241,41057,39498,38929,33700,34229,37792,35735,33367,35659,29063,31847,33907,29128,
[13-11],38982,38821,38553,37197,41606,43699,41767,38864,35256,32350,39133,38236,35874,32909,32587,36415,31845,35495,28774,
[14-11],39040,38252,35259,43338,42539,43821,41986,34024,35587,38414,38165,37665,35612,31622,31548,36197,31610,35291,28727,
[15-11],37910,33784,34789,43544,42439,44419,39747,33549,41294,38681,38434,38657,33454,29204,35111,35962,32905,34731,26673,
[16-11],33978,33228,40142,44327,42742,44303,35335,38196,41796,39831,39148,34769,32744,33351,34875,33887,33583,32352,25756,
[17-11],33036,39576,39824,45726,42861,39445,35281,38324,41173,38611,38739,34325,36942,35129,33336,34408,29285,32075,29267,
[18-11],39001,38830,39247,46051,38757,39395,41587,39030,41223,37590,34597,38773,37348,34074,35111,31327,29160,35540,28887,
[19-11],39911,38637,40467,42060,38102,44409,40879,38016,40703,34264,34271,39737,37846,35196,36400,32019,34254,37302,28469,
[20-11],40173,38797,40755,41220,42993,45062,40751,37411,36952,34360,38614,40046,38420,35236,34042,35103,35622,35595,31186,
[21-11],39774,38617,37844,47305,43821,44137,40285,34093,35980,39225,38708,40050,37453,33071,33541,33955,36699,36163,31605,
[22-11],38808,35543,36390,47951,44756,43987,40234,33083,41363,39451,39879,40166,33801,34406,37424,32931,38130,35146,26656,
[23-11],34783,35108,39761,47933,43244,44492,37845,38692,41878,39414,38650,36799,33684,38549,37311,33307,37187,31389,27841,
[24-11],33749,40420,40144,47251,43114,41054,37780,39376,42799,38602,38573,35941,38904,37763,38174,35472,32992,31484,31465,
[25-11],39641,40745,40176,47710,38366,39034,42908,39156,43431,38027,36449,40821,40351,37315,37281,32200,32096,34602,30424,
[26-11],39768,40597,39994,42940,37521,44754,43760,39719,43700,34397,34460,41295,40139,37509,36605,31712,36693,34256,33032,
[27-11],39798,41113,39326,42016,42418,44804,43429,39855,40216,33062,39811,40399,39358,35074,34511,35191,36677,34685,33606,
[28-11],39414,40549,35593,48075,43050,44118,42151,36604,40362,39342,40152,40412,37527,32406,33257,36499,34139,34260,33870,
[29-11],38994,36190,35080,48988,43434,43847,42740,35515,45419,38794,41010,38161,33840,31576,37551,37186,32986,35500,30805,
[30-11],35043,34661,40963,48906,43363,43193,39807,41431,45717,39076,42201,35544,33028,37468,39259,37446,32431,33666,30792,
[01-12],33520,40803,41987,47286,42914,38632,39221,43095,45913,39823,42574,35500,38815,36711,39312,37850,31794,32988,32216,
[02-12],39320,40519,42191,46173,38173,38581,44518,42523,46556,39972,38427,40231,38651,35817,39128,34649,29659,37042,34182,
[03-12],40000,40766,42351,41650,37603,43886,45396,42197,46743,34874,38084,40740,39996,36700,39368,32810,33957,36344,34679,
[04-12],40411,40957,42314,40641,43443,44447,45656,42077,41850,35223,41628,40349,41208,34703,35026,36727,37114,36216,35847,
[05-12],40682,40212,37298,46549,43569,43271,44908,36657,40799,41116,42345,40299,39609,31657,33656,36251,37109,35063,34296,
[06-12],40530,36525,35731,47626,43960,43874,43743,34682,47124,41886,43294,40740,36040,31450,40166,34555,34494,32785,32058,
[07-12],36875,35718,40737,48207,44290,42684,39780,41017,47990,41221,44132,36290,33669,35427,39665,34034,31879,29744,32882,
[08-12],36562,42644,41481,47889,44033,40538,39448,41562,47339,41505,42220,33886,39734,35050,35546,36001,29340,27612,36443,
[09-12],42113,42090,41567,47413,40163,39507,44759,41372,46633,41194,38195,38900,40613,35940,36399,35864,30196,33718,36327,
[10-12],44185,42587,41642,42149,39860,45166,44803,41618,44493,38570,36113,40146,38703,36543,34659,36149,36498,34399,36296,
[11-12],44086,42191,41746,41046,44743,47087,45199,42520,39857,37083,42610,40819,39311,36312,32445,40073,36923,35247,35164,
[12-12],44219,41759,37356,46965,45392,47331,45557,38152,39817,41447,44885,40329,39652,34373,31762,40593,35576,36639,34219,
[13-12],42694,36194,36865,47597,45057,47441,44762,37886,45617,41616,45531,38626,36749,34546,38321,38702,35978,34587,31509,
[14-12],38055,35348,42869,47028,44325,47215,40482,43476,46052,42785,45372,34703,34346,38225,37742,38603,37616,30552,30426,
[15-12],37078,41741,42493,46022,43817,43050,39679,44280,45881,42773,43289,33716,39587,37623,35823,37786,33610,30845,31948,
[16-12],42322,43168,41654,45092,39886,42533,44854,44755,45225,42928,37460,38495,39940,35745,36940,36148,33329,35631,33328,
[17-12],42644,42592,41362,42708,39509,48257,44720,44243,46325,39175,36699,39961,38239,34824,36657,34765,36308,37051,32886,
[18-12],42961,42746,41788,42612,45746,48158,43890,44816,43418,38540,41335,39061,36857,34071,33407,38470,34791,35969,32461,
[19-12],43067,41600,37993,46828,46657,47829,42931,41289,42716,43454,42048,39471,35936,29808,32858,38555,35554,33746,30387,
[20-12],41404,37535,37105,47533,47177,48210,42216,39821,48312,41953,41882,38212,33539,28953,37884,37050,34859,33812,27158,
[21-12],36763,36223,43435,45946,46875,46374,37755,44965,48156,40960,41102,33785,32213,34091,36443,36372,33525,31066,27957,
[22-12],34639,42056,43343,44860,44703,41999,35814,44880,46984,38632,39416,33105,34972,33280,35770,33931,29767,30147,32104,
[23-12],37062,40419,41981,41677,40853,40315,40020,44047,45533,37211,35754,36888,34784,32004,34775,29426,31101,31014,32709,
[24-12],33718,35518,38878,38163,39006,40071,40001,40578,42673,34658,33134,33767,32288,30147,32722,27645,31941,30179,31180,
[25-12],29589,30672,35838,35731,36420,35875,37448,34991,38330,30608,35308,30886,30176,28059,29243,26280,28905,27526,29327,
[26-12],29248,30198,32126,36104,35763,34745,32940,33504,37777,29869,31318,31173,31547,25900,25463,27753,27775,27420,28778,
[27-12],32053,32685,32064,39201,39618,37879,32691,34908,38731,32502,30920,33043,33226,28483,26351,31859,31344,30347,24791,
[28-12],31704,33179,34421,42608,39358,38317,36028,37820,39014,34301,35129,33160,33680,28148,31626,33431,31252,28616,26152,
[29-12],31970,36661,34588,43786,39008,36992,36253,39611,39646,35553,34794,32874,36738,29190,33937,33625,28239,27576,31230,
[30-12],34164,37233,36514,43203,36717,37142,39621,39389,39385,36295,33050,34359,36518,30463,33984,30396,28783,30059,32172,
[31-12],33995,36327,35086,39173,36050,38190,40630,38471,38145,32836,32419,33927,34425,30149,33366,27972,28815,30949,32979,
